##
#
"459505664","459538431","CN","CHN","China"
"459538432","459539455","AU","AUS","Australia"
"459539456","459540479","TH","THA","Thailand"
"459540480","459541503","JP","JPN","Japan"
"459541504","459542527","IN","IND","India"
"459542528","459544575","HK","HKG","Hong Kong"
"459544576","459545599","AU","AUS","Australia"
"459545600","459547647","JP","JPN","Japan"
"459548672","459550719","TH","THA","Thailand"
"459550720","459554815","JP","JPN","Japan"
"459554816","459571199","TW","TWN","Taiwan; Republic of China (ROC)"
"459571200","459735039","KR","KOR","Korea Republic of"
"459735040","459800575","CN","CHN","China"
"459800576","459866111","SG","SGP","Singapore"
"459866112","459931647","TW","TWN","Taiwan; Republic of China (ROC)"
"459931648","459964415","IN","IND","India"
"459964416","459980799","CN","CHN","China"
"459980800","459983871","AU","AUS","Australia"
"459983872","459984895","CN","CHN","China"
"459984896","459986943","JP","JPN","Japan"
"459986944","459988991","PH","PHL","Philippines"
"459988992","459997183","JP","JPN","Japan"
"459997184","460062719","IN","IND","India"
"460062720","460128255","PH","PHL","Philippines"
"460128256","460136447","IN","IND","India"
"460136448","460144639","CN","CHN","China"
"460144640","460152831","PH","PHL","Philippines"
"460152832","460154879","JP","JPN","Japan"
"460154880","460155903","SG","SGP","Singapore"
"460155904","460156927","AU","AUS","Australia"
"460156928","460158975","KH","KHM","Cambodia"
"460158976","460159999","JP","JPN","Japan"
"460161024","460193791","MO","MAC","Macau"
"460193792","460210175","JP","JPN","Japan"
"460210176","460214271","HK","HKG","Hong Kong"
"460214272","460218367","MY","MYS","Malaysia"
"460218368","460224511","JP","JPN","Japan"
"460224512","460226559","NZ","NZL","New Zealand"
"460226560","460259327","PH","PHL","Philippines"
"460259328","460261375","AU","AUS","Australia"
"460261376","460262399","KH","KHM","Cambodia"
"460262400","460263423","NZ","NZL","New Zealand"
"460263424","460267519","NP","NPL","Nepal"
"460267520","460275711","ID","IDN","Indonesia"
"460275712","460277759","AU","AUS","Australia"
"460278784","460279807","JP","JPN","Japan"
"460279808","460283903","AU","AUS","Australia"
"460283904","460292095","KR","KOR","Korea Republic of"
"460292096","460300287","JP","JPN","Japan"
"460300288","460312575","HK","HKG","Hong Kong"
"460312576","460320767","SG","SGP","Singapore"
"460320768","460324863","AU","AUS","Australia"
"460324864","460341247","CN","CHN","China"
"460341248","460343295","ID","IDN","Indonesia"
"460343296","460344319","AU","AUS","Australia"
"460344320","460345343","ID","IDN","Indonesia"
"460345344","460349439","CN","CHN","China"
"460349440","460351487","AU","AUS","Australia"
"460351488","460353535","JP","JPN","Japan"
"460353536","460355583","TH","THA","Thailand"
"460355584","460356607","IN","IND","India"
"460356608","460357631","JP","JPN","Japan"
"460357632","460423167","KR","KOR","Korea Republic of"
"460423168","460439551","CN","CHN","China"
"460439552","460451839","JP","JPN","Japan"
"460451840","460453887","AU","AUS","Australia"
"460453888","460454911","JP","JPN","Japan"
"460454912","460455935","IN","IND","India"
"460455936","460488703","JP","JPN","Japan"
"460488704","460505087","MV","MDV","Maldives"
"460505088","460521471","SG","SGP","Singapore"
"460521472","460554239","CN","CHN","China"
